CALL  LAT     LON      ELEV(M) BEGIN    END
ESSV  +57.667 +018.350 +0051.0 19550101 19770630
ESMS  +55.550 +013.367 +0072.0 19730101 19770630
ESUT  +65.806 +015.083 +0458.1 19730102 20171126
ESPE  +65.867 +020.133 +0180.0 19730102 19770630
ESPD  +65.000 +017.700 +0283.0 19730101 20130402
ESNJ  +66.496 +020.147 +0275.5 19770701 20000510
ESCK  +58.617 +016.117 +0027.0 19730101 19770630
ESCJ  +58.783 +016.917 +0042.0 19730101 19770630
ESPE  +65.875 +020.150 +0182.0 19770701 20171126
ESMV  +57.300 +014.133 +0169.0 19550101 19770630
ESUF  +65.120 +020.770 +0195.0 19960801 20050629
ESDA  +56.083 +013.233 +0043.0 19730101 19770630
ESDF  +56.267 +015.283 +0058.0 19730101 19770630
ESPJ  +65.867 +021.450 +0036.0 20020530 20020801
ESPA  +65.544 +022.122 +0019.8 19770701 20171126
ESNZ  +63.200 +014.500 +0376.0 19350101 20171126
ESNL  +64.548 +018.716 +0214.9 19980408 20171126
ESNK  +63.049 +017.769 +0010.4 19770701 20171126
ESNO  +63.408 +018.990 +0107.9 19790802 20171126
ESNU  +63.792 +020.283 +0007.3 19770701 20171126
ESCL  +61.267 +017.100 +0036.0 20040706 20120103
ESNS  +64.625 +021.077 +0047.9 19790802 20171126
ESGI  +58.100 +014.400 +0110.0 19731209 19731209
ESNS  +64.633 +021.083 +0046.0 19740110 19740110
ESNO  +63.400 +018.967 +0107.0 19731014 19740213
ESNN  +62.528 +017.444 +0004.9 19770701 20171126
ESSK  +60.600 +016.950 +0068.0 19730828 19740123
ESSD  +60.433 +015.500 +0153.0 19730810 19731213
ESSU  +59.350 +016.717 +0040.0 19800302 20030313
ESSP  +58.583 +016.250 +0005.0 19730728 19770630
ESMK  +55.917 +014.083 +0023.0 19730708 19731106
ESKV  +59.667 +012.583 +0075.0 19770701 20040224
EVSM  +60.683 +013.700 +0308.0 19770701 20110818
ESKV  +59.676 +012.639 +0072.2 20010701 20171126
ESOK  +59.445 +013.337 +0107.3 19350101 20171126
ESOE  +59.224 +015.038 +0057.3 19910827 20171126
ESKM  +60.958 +014.511 +0193.2 19910827 20171126
ESST  +60.158 +012.991 +0119.8 20070226 20171126
ESSD  +60.422 +015.515 +0153.3 19790802 20171126
ESQO  +59.387 +015.924 +0010.1 20070226 20070227
ESOW  +59.589 +016.634 +0006.4 19770701 20171126
ESSK  +60.717 +017.167 +0016.0 19960501 20171126
ESCM  +59.897 +017.589 +0020.7 19350101 20171126
ESSA  +59.652 +017.919 +0041.8 19770630 20171126
ESSB  +59.354 +017.942 +0014.3 19310101 20171126
ESCN  +59.183 +017.917 +0054.0 20010601 20171126
ESKN  +58.789 +016.912 +0042.7 19910827 20171126
ESGT  +58.318 +012.345 +0041.8 19910827 20171126
ESGL  +58.466 +013.174 +0061.0 20071016 20120830
ESGP  +57.775 +011.870 +0018.0 19350101 20170102
ESNX  +65.590 +019.282 +0379.5 19770701 20171126
ESIB  +58.426 +012.714 +0055.2 19770701 20171126
ESGG  +57.663 +012.280 +0154.2 19771003 20171126
ESGR  +58.456 +013.973 +0098.8 19910827 20171126
ESGJ  +57.758 +014.069 +0225.9 19310101 20171126
ESMV  +57.292 +014.137 +0169.5 19770701 20171126
ESCF  +58.402 +015.526 +0093.9 19770701 20171126
ESSL  +58.406 +015.681 +0052.4 19951012 20171126
ESDB  +56.283 +012.833 +0047.0 20040810 20171126
ESSF  +57.526 +015.823 +0111.6 19790806 20171126
ESSP  +58.586 +016.251 +0009.8 19770701 20171126
ESSV  +57.663 +018.346 +0050.0 19310101 20171126
ESMT  +56.691 +012.820 +0030.8 19770701 20171126
ESDB  +56.283 +012.083 +0018.0 19770701 20150818
ESDA  +56.083 +013.233 +0052.0 19770701 20030131
ESMS  +55.530 +013.372 +0071.9 19770630 20171126
ESMX  +56.929 +014.728 +0185.9 19790802 20171126
ESMK  +55.922 +014.086 +0023.2 19790802 20171126
ESDF  +56.267 +015.265 +0058.2 19770701 20171126
ESMQ  +56.686 +016.288 +0005.2 19350101 20171126
EFKT  +67.701 +024.847 +0196.3 20130101 20171126
EFVR  +62.171 +027.869 +0087.2 20130101 20160511
EFIV  +68.607 +027.405 +0146.6 19520101 20171126
EFET  +68.363 +023.424 +0306.3 19980419 20171126
EFSO  +67.395 +026.619 +0183.5 19170101 20171126
EFPE  +66.767 +023.967 +0085.9 19730101 20171126
EFRO  +66.565 +025.830 +0196.6 19730101 20171126
EFKE  +65.782 +024.599 +0018.6 19520101 20171126
EFKS  +65.988 +029.239 +0264.0 19090101 20171126
EFHL  +65.033 +024.800 +0006.0 19730101 20171126
EFYL  +64.061 +024.716 +0076.8 19920615 19950608
EFOU  +64.930 +025.355 +0014.3 19060101 20171126
EFSU  +64.900 +029.017 +0224.0 19730101 20010309
EFKI  +64.285 +027.692 +0147.2 19160101 20171126
EFKK  +63.721 +023.143 +0025.3 19601101 20171126
EFVA  +63.051 +021.762 +0005.8 19170101 20171126
EFKA  +63.127 +023.051 +0046.0 19730101 20171126
EFVI  +63.083 +025.867 +0132.0 19730101 20171126
EFKU  +63.007 +027.798 +0098.5 19060101 20171126
EFHT  +62.533 +024.217 +0159.7 19730101 20171126
EFIL  +62.700 +022.833 +0092.0 19920520 19920615
EFSI  +62.692 +022.832 +0091.7 19990114 20171126
EFJO  +62.663 +029.608 +0121.3 19520101 20171126
EFJY  +62.399 +025.678 +0139.9 19170101 20171126
EFTP  +61.414 +023.604 +0118.9 19060101 20171126
EFHA  +61.856 +024.787 +0146.0 19730101 20171126
EFMI  +61.687 +027.202 +0100.3 19730101 20171126
EFSA  +61.943 +028.945 +0094.8 19840813 20171126
EFPO  +61.462 +021.800 +0013.4 19520101 20171126
EFLP  +61.045 +028.144 +0106.4 19730101 20171126
EFUT  +60.896 +026.938 +0103.3 19730101 20171126
EFMA  +60.122 +019.898 +0005.2 19170101 20171126
EFTU  +60.514 +022.263 +0049.1 19010101 20171126
EFHK  +60.317 +024.963 +0054.6 19520101 20171126
EFHF  +60.255 +025.043 +0017.4 19170101 20170306
EGPW  +60.750 -000.850 +0015.0 19730101 20171126
EGPB  +59.879 -001.296 +0006.1 19770119 20171126
EGPM  +60.433 -001.296 +0024.7 19811015 20171126
EGPA  +58.958 -002.905 +0015.5 19730101 20171126
EGOW  +53.582 -003.056 +0011.3 20050620 20171126
EGPL  +57.481 -007.363 +0005.8 19730101 20171126
EGPO  +58.216 -006.331 +0007.9 19291001 20171126
EGPR  +57.033 -007.450 +0003.0 19870624 20070710
EGPE  +57.543 -004.048 +0009.4 19730102 20171126
EGQA  +57.817 -003.967 +0004.0 19891019 20171126
EGQK  +57.649 -003.561 +0006.7 19730101 20171126
EGQS  +57.705 -003.339 +0012.8 19730103 20171126
EGPC  +58.459 -003.093 +0038.4 19291001 20171126
EGPD  +57.202 -002.198 +0065.5 19260602 20171126
EGPU  +56.499 -006.869 +0011.6 19291001 20171126
EGPI  +55.683 -006.250 +0018.0 19880107 19880112
EGQJ  +55.433 -005.700 +0010.0 19730101 20171125
EGEO  +56.417 -005.467 +0004.0 19780902 20171126
EGOY  +54.850 -004.950 +0012.0 19830804 20171126
EGPK  +55.509 -004.587 +0019.8 19440101 20171126
EGEC  +55.437 -005.686 +0012.8 19990118 20171124
EGPF  +55.872 -004.433 +0007.9 19291001 20171126
EGRE  +61.617 +001.300 +0470.0 20120301 20171126
EGRK  +59.733 +001.667 +0470.0 20120301 20171126
EGRL  +59.267 +001.500 +0470.0 20120301 20171126
EGRM  +58.717 +001.400 +0470.0 20120301 20170812
EGRO  +58.033 +001.400 +0470.0 20120301 20171126
EGRP  +57.367 +001.983 +0470.0 20120301 20171126
EGRS  +57.283 +001.650 +0470.0 20120301 20171126
EGRV  +54.017 +001.100 +0470.0 20120301 20171126
EGRW  +53.700 +001.133 +0470.0 20120301 20171126
EGRI  +60.350 -004.050 +0470.0 20130312 20130326
EGRF  +60.683 -002.533 +0470.0 20130312 20171126
EGRT  +54.033 +000.717 +0470.0 20130312 20171126
EGRQ  +56.050 -003.417 +0040.0 19820318 19850801
EGPT  +56.450 -003.367 +0121.0 19900424 19930701
EGPH  +55.950 -003.373 +0041.1 19730101 20171126
EGPN  +56.452 -003.026 +0005.2 19830404 20171126
EGOM  +55.050 -002.550 +0325.0 19920911 20171126
EGQL  +56.373 -002.868 +0011.6 19291001 20171126
EGNS  +54.083 -004.624 +0016.8 19730101 20171126
EGNL  +54.131 -003.264 +0014.3 19830804 20171126
EGNO  +53.745 -002.883 +0016.8 20111130 20171125
EGNC  +54.938 -002.809 +0057.9 19730101 20171125
EGQM  +55.424 -001.603 +0021.3 19751001 20171126
EGNT  +55.038 -001.692 +0081.1 19880105 20171126
EGXE  +54.292 -001.535 +0040.2 19730101 20171126
EGXD  +54.137 -001.420 +0035.7 19920501 20160606
EGNV  +54.509 -001.429 +0036.6 19730101 20171126
EGXZ  +54.206 -001.382 +0028.0 19940720 20171126
EGXU  +54.049 -001.253 +0016.2 19730101 20171126
EGOV  +53.248 -004.535 +0011.3 19260606 20171126
EGNH  +53.772 -003.029 +0010.4 19730101 20171126
EGNR  +53.178 -002.978 +0013.7 19850904 20171126
EGGP  +53.334 -002.850 +0024.4 19900424 20171126
EGCC  +53.354 -002.275 +0078.3 19330930 20171126
EGCB  +53.483 -002.250 +0037.0 19730101 19860729
EGNM  +53.866 -001.661 +0207.6 19880105 20171126
EGHK  +50.120 -005.520 +0004.0 20050105 20121031
EGSY  +53.394 -001.388 +0070.4 19980408 20020914
EGXG  +53.834 -001.196 +0008.8 19730101 20131219
EGYE  +52.962 -000.562 +0111.9 19951129 20171124
EGXP  +53.308 -000.551 +0061.6 19730101 20171126
EGNJ  +53.574 -000.351 +0036.9 19750109 20171126
EGXW  +53.166 -000.524 +0070.4 19500926 20171126
EGYD  +53.030 -000.483 +0066.4 19290801 20171126
EGXV  +53.883 -000.433 +0009.0 19730101 19781126
EGXV  +53.867 -000.433 +0006.0 19810112 20171126
EGXX  +53.467 +000.067 +0008.0 19921208 20171126
EGXS  +53.475 +000.152 +0003.0 20110512 20171126
EGXC  +53.093 -000.166 +0007.6 19430801 20171126
EGYW  +53.083 +000.267 +0005.0 19840614 20171126
EGOD  +52.812 -004.124 +0009.1 19940503 20070227
EGCN  +53.475 -001.004 +0016.8 20050507 20171126
EGSD  +52.650 -001.783 +0002.0 20100726 20150430
EGOS  +52.798 -002.668 +0075.9 19730101 20171126
EGWC  +52.640 -002.306 +0082.9 19940831 20171126
EGNX  +52.831 -001.328 +0093.3 19730101 20171126
EGXJ  +52.736 -000.649 +0140.5 19730101 20111109
EGXT  +52.613 -000.476 +0083.2 19730301 20171126
EGYH  +52.867 +000.150 +0003.0 19851201 20171126
EGYH  +52.883 +000.183 +0012.0 19640713 19810128
EGYM  +52.648 +000.551 +0022.9 19490401 20171126
EGYV  +52.783 +000.733 +0076.0 19730101 19760114
EGUP  +52.850 +000.767 +0065.0 19780707 20011018
EGUP  +52.850 +000.767 +0065.0 19490601 19900827
EGUH  +51.620 -000.770 +0075.0 20040901 20041220
EGSH  +52.676 +001.283 +0035.7 19871202 20171126
EGYC  +52.755 +001.358 +0020.1 19730101 20060404
EGUC  +52.133 -004.567 +0134.0 19730101 20171126
EGBB  +52.454 -001.748 +0099.7 19730101 20171126
EGBE  +52.370 -001.480 +0081.4 19880105 20170718
